,SPY,Regime,Level,Equity_vs_Bond,US10Y,Jobless_Claims_MA,VIX,Market_Breadth,spread_10y2y,DXY,Copper_Gold_Ratio
2010-04-06,89.43553924560547,0,4,2.8772699930311005,3.98,471600.0,16.229999542236328,0.3743891552097058,2.84,81.38999938964844,0.003179896052303436
2010-04-07,88.92464447021484,0,4,2.885906948411285,3.89,471950.0,16.6200008392334,0.3742065033330528,2.83,81.44000244140625,0.003117243647852323
2010-04-08,89.232666015625,0,4,2.8859197371659597,3.91,472300.0,16.479999542236328,0.37343163042377914,2.8200000000000003,81.52999877929688,0.0031079675762902405
2010-04-09,89.81867980957031,0,4,2.8869566432851337,3.9,472650.0,16.139999389648438,0.37373332096575185,2.82,81.08999633789062,0.0030871588577699475
2010-04-12,89.96144104003906,0,4,2.9148465910678047,3.87,473000.0,15.579999923706056,0.3737380873187009,2.8,80.55999755859375,0.003064307897582102
2010-04-13,90.02903747558594,0,4,2.923095530206023,3.84,473050.0,16.200000762939453,0.3740551288333181,2.7699999999999996,80.51000213623047,0.0031189276891735026
2010-04-14,91.05084991455078,0,4,2.9132520164944578,3.88,473100.0,15.59000015258789,0.37466819146995567,2.8099999999999996,80.19000244140625,0.0031108714260861623
2010-04-15,91.1259994506836,0,4,2.931654530358341,3.86,473150.0,15.890000343322754,0.37435921114642107,2.82,80.4800033569336,0.0031012331390176395
2010-04-16,89.6759262084961,0,4,2.971975409273894,3.79,473200.0,18.36000061035156,0.37415687234383044,2.81,80.81999969482422,0.0030902928195469335
2010-04-19,90.01405334472656,0,4,2.9951737841355577,3.83,472750.0,17.34000015258789,0.3728368322207175,2.8200000000000003,81.0,0.0030783122552034193
2010-04-20,90.81793975830078,0,4,2.9866103952889906,3.82,472600.0,15.729999542236328,0.37452935808386795,2.7699999999999996,81.05000305175781,0.0030844898640683895
2010-04-21,90.6526336669922,0,4,2.9909606800911437,3.77,472450.0,16.31999969482422,0.3759748551214599,2.74,81.16000366210938,0.003076990195622946
2010-04-22,90.92312622070312,0,4,2.9872770692214963,3.8,472300.0,16.469999313354492,0.37789918771390857,2.7299999999999995,81.56999969482422,0.0030504243914811747
2010-04-23,91.51663970947266,0,4,2.9907170797094245,3.84,472150.0,16.6200008392334,0.37855557887030294,2.7399999999999998,81.3499984741211,0.0030452692360521884
2010-04-26,91.17102813720705,0,4,2.9794226699124593,3.83,471000.0,17.469999313354492,0.37864194459416584,2.74,81.4800033569336,0.00305765058553007
2010-04-27,89.0147705078125,0,4,3.016852582342689,3.71,470500.0,22.809999465942383,0.37736763397050777,2.6799999999999997,82.1500015258789,0.002895326039105584
2010-04-28,89.69096374511719,0,4,3.014359070677402,3.8,470000.0,21.07999992370605,0.3765790057038234,2.7699999999999996,82.37999725341797,0.002875010609046209
2010-04-29,90.80291748046876,0,4,3.002253635102827,3.76,469500.0,18.440000534057617,0.37713011228629134,2.75,82.0,0.0028530467637733685
2010-04-30,89.26273345947266,0,4,2.98712576419253,3.69,469000.0,22.049999237060547,0.3762332321496567,2.7199999999999998,81.87000274658203,0.0028281502960885267
2010-05-03,90.41974639892578,0,4,3.009383710993966,3.72,467600.0,20.190000534057617,0.3768585521305874,2.72,82.2699966430664,0.0027720471932548485
2010-05-04,88.29353332519531,0,4,3.079940034262334,3.63,466200.0,23.84000015258789,0.3754888397891265,2.67,83.30000305175781,0.0027079411810752158
2010-05-05,87.76762390136719,0,4,3.1180193970292587,3.58,464800.0,24.90999984741211,0.37493686911491936,2.7,84.08000183105469,0.0026715478262109888
2010-05-06,84.8525619506836,0,4,3.143004538252133,3.41,463400.0,32.79999923706055,0.3735982815723541,2.66,84.88999938964844,0.002592948304845332
2010-05-07,83.59037017822266,0,4,3.0800368124934767,3.45,462000.0,40.95000076293945,0.3731716664581119,2.62,84.44999694824219,0.00258760334046419
2010-05-10,87.27178192138672,0,4,2.999682236134544,3.57,460600.0,28.84000015258789,0.375922325310146,2.6999999999999997,84.16000366210938,0.002678273782723899
2010-05-11,87.02383422851562,0,4,3.046220605662116,3.56,459200.0,28.31999969482422,0.37566874807344797,2.71,84.47000122070312,0.002618247349618814
2010-05-12,88.24095153808594,0,4,3.050878963907195,3.56,457800.0,25.520000457763672,0.3772802988919686,2.67,84.83000183105469,0.002555725632129159
2010-05-13,87.14403533935547,0,4,3.0413500741289843,3.55,456400.0,26.68000030517578,0.37735519508029275,2.6799999999999997,85.20999908447266,0.002620035755955745
2010-05-14,85.5663070678711,0,4,3.04905240680441,3.44,455000.0,31.239999771118164,0.3761403459028062,2.65,86.0999984741211,0.002544402675917151
2010-05-17,85.61137390136719,0,4,3.069312344354772,3.47,455250.0,30.84000015258789,0.37630125830856337,2.66,86.20999908447266,0.0023808749804744168
2010-05-18,84.4468765258789,0,4,3.092164980709974,3.38,455500.0,33.54999923706055,0.3764850201303306,2.62,87.16000366210938,0.002489088294992554
2010-05-19,83.96602630615234,0,4,3.1044458380707893,3.36,455750.0,35.31999969482422,0.37525465456433754,2.5599999999999996,86.38999938964844,0.002473587211197408
2010-05-20,80.79551696777344,0,4,3.143316108959672,3.25,456000.0,45.790000915527344,0.37447596937874583,2.49,85.56999969482422,0.0024713754721900037
2010-05-21,81.97501373291016,0,4,3.0892747860326604,3.2,456250.0,40.09999847412109,0.3751814743906002,2.4400000000000004,85.37000274658203,0.0025954752137009266
2010-05-24,80.92324829101562,0,4,3.0818261759793404,3.23,456950.0,38.31999969482422,0.3752144384738354,2.46,86.20999908447266,0.002627324303448706
2010-05-25,81.005859375,0,4,3.1187340893371216,3.18,457650.0,34.61000061035156,0.3758755038803496,2.37,86.77999877929688,0.0025325595529060332
2010-05-26,80.51750183105469,0,4,3.1016297855019475,3.21,458350.0,35.02000045776367,0.3770096715904257,2.39,87.12000274658203,0.0025315255413606358
2010-05-27,83.21471405029297,0,4,3.0226631444679066,3.34,459050.0,29.68000030517578,0.37836547396246434,2.4699999999999998,86.18000030517578,0.002600462020926411
2010-05-28,82.1703872680664,0,4,3.034867450431413,3.31,459750.0,32.06999969482422,0.3785915528135546,2.55,86.4800033569336,0.0025548589410994103
2010-06-01,80.78797149658203,0,4,3.039655451551714,3.29,460100.0,35.540000915527344,0.3757474827040523,2.51,86.63999938964844,0.002493468140975259
2010-06-02,82.89164733886719,0,4,3.013262165432366,3.35,460450.0,30.170000076293945,0.3770589935879016,2.5300000000000002,86.79000091552734,0.0024840243531828437
2010-06-03,83.17715454101562,0,4,3.034615483108112,3.39,460800.0,29.459999084472656,0.37798208269233097,2.5700000000000003,87.13999938964844,0.002431928998406206
2010-06-04,80.25455474853516,0,4,3.0358198824070284,3.2,461150.0,35.47999954223633,0.3758511520682567,2.4800000000000004,88.2300033569336,0.002312530926588184
2010-06-07,79.25531768798828,0,4,3.045505940342179,3.17,461550.0,36.56999969482422,0.3743839978098128,2.4299999999999997,88.4000015258789,0.0022262567209219426
2010-06-08,80.10430908203125,0,4,3.0091051132262123,3.18,461950.0,33.70000076293945,0.373869772193391,2.4400000000000004,88.38999938964844,0.0022286977798609106
2010-06-09,79.67604064941406,0,4,3.0090834673402886,3.2,462350.0,33.72999954223633,0.37549361801224096,2.46,87.9000015258789,0.0023137972905085636
2010-06-10,82.00508880615234,0,4,2.9926300515872724,3.33,462750.0,30.56999969482422,0.37729306063103646,2.54,87.16999816894531,0.002339039866172126
2010-06-11,82.40331268310547,0,4,2.991645522936086,3.24,463150.0,28.790000915527344,0.3779877160575726,2.49,87.51000213623047,0.0023594269961634625
2010-06-14,82.27557373046875,0,4,2.9862379017516347,3.28,463950.0,28.57999992370605,0.37857457012336027,2.51,86.51000213623047,0.002444208199289332
2010-06-15,84.14633178710938,0,4,2.9646705081056353,3.32,463600.0,25.8700008392334,0.3795648027223664,2.53,85.9800033569336,0.0024347228155233614
2010-06-16,84.11627960205078,0,4,2.963611699897896,3.27,463250.0,25.920000076293945,0.37933531719667396,2.52,86.08000183105469,0.0024355322859479825
2010-06-17,84.25153350830078,0,4,2.983316564641837,3.21,462900.0,25.049999237060547,0.3787263480623094,2.49,85.69000244140625,0.0023266532378110713
2010-06-18,84.34286499023438,0,4,2.973084479661915,3.24,462550.0,23.950000762939453,0.37830710444914095,2.5,85.69999694824219,0.002291600504180899
2010-06-21,84.10130310058594,0,4,2.9141981334403138,3.26,461450.0,24.8799991607666,0.3776514229915726,2.5199999999999996,85.93000030517578,0.0023707348608854287
2010-06-22,82.71231842041016,0,4,2.922195017782467,3.18,460900.0,27.049999237060547,0.37681497433556904,2.47,86.11000061035156,0.002411887986461114
2010-06-23,82.45564270019531,0,4,2.905635691302357,3.13,460350.0,26.90999984741211,0.3769593572168393,2.4699999999999998,85.73999786376953,0.002377441109554967
2010-06-24,81.08934020996094,0,4,2.9088166819847503,3.14,459800.0,29.739999771118164,0.3761791833724701,2.47,85.7300033569336,0.0024110799044406543
2010-06-25,81.42900848388672,0,4,2.8869240868276584,3.12,459250.0,28.530000686645508,0.37678790053052247,2.47,85.30999755859375,0.002462971663392147
2010-06-28,81.1723403930664,0,4,2.89766715567461,3.05,459300.0,29.0,0.376839374059923,2.4299999999999997,85.6500015258789,0.002478194284418713
2010-06-29,78.66612243652344,0,4,2.9270473421582084,2.97,459600.0,34.130001068115234,0.3748283374354544,2.3600000000000003,86.02999877929688,0.0023474234505743994
2010-06-30,77.91881561279297,0,4,2.918661022041117,2.97,459900.0,34.540000915527344,0.3740689417138493,2.3600000000000003,86.0199966430664,0.0023572863177188856
2010-07-01,77.57157897949219,0,4,2.884785138030782,2.96,460200.0,32.86000061035156,0.37494814340097854,2.33,84.72000122070312,0.0023750309985645633
2010-07-02,77.14888763427734,0,4,2.856904850395485,3.0,460500.0,30.1200008392334,0.37470373244459904,2.37,84.43000030517578,0.0024051681175659215
2010-07-06,77.65460968017578,0,4,2.823280568281762,2.95,460250.0,29.649999618530277,0.37325643314310925,2.33,84.08000183105469,0.002477402006344223
2010-07-07,80.10042572021484,0,4,2.849215835720701,3.0,460000.0,26.84000015258789,0.37408482279563343,2.37,83.81999969482422,0.002507508876539106
2010-07-08,80.89305877685547,0,4,2.863565263075237,3.04,459750.0,25.709999084472656,0.3742322204056187,2.41,83.81999969482422,0.0025146344260725353
2010-07-09,81.49696350097656,0,4,2.8502982188254427,3.07,459500.0,24.979999542236328,0.3748652402131817,2.44,83.94999694824219,0.002516947895157484
